word,mass,drag,restitution,warmth,age,intensity
the,0.0,0.0,0.0,0.0,0.0,0.0
to,0.0,-0.1,0.0,0.0,0.0,0.0
and,0.0,0.0,0.0,0.0,0.0,0.0
of,0.0,0.0,0.0,0.0,0.0,0.0
a,0.0,0.1,0.0,0.0,0.0,0.0
in,0.0,0.0,0.0,0.0,0.0,0.0
i,-0.1,-0.2,0.1,0.1,-0.1,0.0
is,0.0,0.0,0.0,0.0,0.0,0.0
for,0.0,0.0,0.0,0.0,0.0,0.0
that,0.0,0.0,0.0,0.0,0.0,0.0
you,0.0,0.0,0.1,0.1,-0.1,0.0
it,0.0,0.0,0.0,0.0,0.0,0.0
on,0.0,0.0,0.0,0.0,0.0,0.0
with,0.0,0.0,0.0,0.1,0.0,0.0
this,0.0,0.0,0.0,0.0,-0.1,0.0
was,0.0,0.0,0.0,0.0,0.1,0.0
be,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.0,0.0,0.0,0.0,0.0
are,0.0,0.0,0.0,0.0,0.0,0.0
have,0.0,0.0,0.0,0.0,0.0,0.0
at,0.0,-0.1,0.0,0.0,0.0,0.0
he,0.0,0.0,0.0,0.0,0.0,0.0
not,0.0,0.0,0.0,-0.1,0.0,0.1
by,0.0,0.0,0.0,0.0,0.0,0.0
but,0.0,0.0,0.0,0.0,0.0,0.0
from,0.0,0.0,0.0,0.0,0.0,0.0
my,0.0,0.0,0.0,0.1,0.0,0.0
or,0.0,0.0,0.0,0.0,0.0,0.0
we,0.0,0.0,0.1,0.1,0.0,0.0
an,0.0,0.0,0.0,0.0,0.0,0.0
your,0.0,0.0,0.0,0.1,0.0,0.0
all,0.1,0.2,0.0,0.0,0.0,0.1
so,0.0,0.1,0.0,0.0,0.0,0.0
his,0.0,0.0,0.0,0.0,0.0,0.0
they,0.0,0.0,0.0,0.0,0.0,0.0
me,-0.1,0.0,0.1,0.1,-0.1,0.0
if,0.0,0.2,0.0,0.0,0.0,0.0
one,0.0,0.0,0.0,0.0,0.0,0.0
can,0.0,0.0,0.0,0.0,0.0,0.0
will,0.0,0.0,0.0,0.0,0.0,0.0
just,-0.1,-0.1,0.0,0.0,0.0,0.0
like,0.0,0.0,0.0,0.0,0.0,0.0
about,0.0,0.2,0.0,0.0,0.0,0.0
up,-0.1,0.3,0.1,0.0,0.0,0.0
out,0.0,0.0,0.0,0.0,0.0,0.0
what,0.0,0.1,0.0,0.0,0.0,0.1
has,0.0,0.0,0.0,0.0,0.0,0.0
when,0.0,0.0,0.0,0.0,0.0,0.0
more,0.1,0.0,0.0,0.0,0.0,0.0
do,0.0,-0.1,0.0,0.0,0.0,0.0
no,-0.1,-0.2,-0.2,-0.1,0.0,0.2
were,0.0,0.0,0.0,0.0,0.0,0.0
who,0.0,0.1,0.0,0.1,0.0,0.0
had,0.0,0.0,0.0,0.0,0.1,0.0
their,0.0,0.0,0.0,0.0,0.0,0.0
there,0.0,0.0,0.0,0.0,0.0,0.0
her,0.0,0.1,0.1,0.2,0.0,0.0
which,0.0,0.1,0.0,0.0,0.0,0.0
time,0.3,0.0,-0.2,-0.1,0.6,-0.2
get,0.1,-0.1,0.3,0.1,-0.2,0.2
been,0.0,0.0,0.0,0.0,0.2,0.0
would,0.0,0.0,0.0,0.0,0.0,0.0
she,0.0,0.1,0.1,0.2,0.0,0.0
new,-0.2,0.2,0.4,0.1,-0.8,0.3
people,0.2,0.0,0.1,0.4,0.2,0.1
how,0.0,0.1,0.1,0.0,0.0,0.1
some,0.0,0.1,0.0,0.0,0.0,0.0
also,0.0,0.0,0.0,0.0,0.0,0.0
them,0.0,0.0,0.0,0.0,0.0,0.0
now,-0.1,-0.2,0.2,0.2,-0.7,0.2
other,0.0,0.0,0.0,0.0,0.0,0.0
its,0.0,0.0,0.0,0.0,0.0,0.0
our,0.0,0.0,0.0,0.3,0.0,0.0
than,0.0,0.0,0.0,0.0,0.0,0.0
good,0.1,0.1,0.2,0.5,0.0,0.1
only,-0.1,0.1,0.0,-0.1,0.0,-0.2
after,0.0,0.1,0.0,0.0,0.1,0.0
first,0.2,-0.1,0.2,0.1,-0.3,0.2
him,0.0,0.0,0.0,0.1,0.0,0.0
into,0.0,-0.2,0.1,0.0,0.0,0.0
know,0.2,0.0,-0.1,0.2,0.3,-0.2
see,-0.2,-0.1,0.1,0.1,0.0,-0.1
two,0.1,0.0,0.1,0.0,0.0,0.0
make,0.2,0.0,0.2,0.2,0.0,0.1
over,0.0,0.2,0.2,0.0,0.0,0.0
